human,mouse,DB
FEM1C,Fem1c,Jax/Ensembl/Biomart
FEN1,Fen1,Jax/Ensembl/Biomart
FER,Fer,Jax/Ensembl/Biomart
FER1L5,Fer1l5,Jax/Ensembl/Biomart
FER1L6,Fer1l6,Jax/Ensembl/Biomart
FERD3L,Ferd3l,Jax/Ensembl/Biomart
FERMT1,Fermt1,Jax/Ensembl/Biomart
FERMT2,Fermt2,Jax/Ensembl/Biomart
FERMT3,Fermt3,Jax/Ensembl/Biomart
FES,Fes,Jax/Ensembl/Biomart
FETUB,Fetub,Jax/Ensembl/Biomart
FEV,Fev,Jax/Ensembl/Biomart
FEZ1,Fez1,Jax/Ensembl/Biomart
FEZ2,Fez2,Jax/Ensembl/Biomart
FEZF1,Fezf1,Jax/Ensembl/Biomart
FEZF2,Fezf2,Jax/Ensembl/Biomart
FFAR1,Ffar1,Jax/Ensembl/Biomart
FFAR2,Ffar2,Jax/Ensembl/Biomart
FFAR3,Ffar3,Jax/Ensembl/Biomart
FFAR4,Ffar4,Jax/Ensembl/Biomart
FGA,Fga,Jax/Ensembl/Biomart
FGB,Fgb,Jax/Ensembl/Biomart
FGD1,Fgd1,Jax/Ensembl/Biomart
FGD2,Fgd2,Jax/Ensembl/Biomart
FGD3,Fgd3,Jax/Ensembl/Biomart
FGD4,Fgd4,Jax/Ensembl/Biomart
FGD5,Fgd5,Jax/Ensembl/Biomart
FGD6,Fgd6,Jax/Ensembl/Biomart
FGF1,Fgf1,Jax/Ensembl/Biomart
FGF10,Fgf10,Jax/Ensembl/Biomart
FGF11,Fgf11,Jax/Ensembl/Biomart
FGF12,Fgf12,Jax/Ensembl/Biomart
FGF14,Fgf14,Jax/Ensembl/Biomart
FGF16,Fgf16,Jax/Ensembl/Biomart
FGF17,Fgf17,Jax/Ensembl/Biomart
FGF18,Fgf18,Jax/Ensembl/Biomart
FGF19,Fgf15,Jax/Ensembl/Biomart
FGF2,Fgf2,Jax/Ensembl/Biomart
FGF20,Fgf20,Jax/Ensembl/Biomart
FGF21,Fgf21,Jax/Ensembl/Biomart
FGF22,Fgf22,Jax/Ensembl/Biomart
FGF23,Fgf23,Jax/Ensembl/Biomart
FGF3,Fgf3,Jax/Ensembl/Biomart
FGF4,Fgf4,Jax/Ensembl/Biomart
FGF5,Fgf5,Jax/Ensembl/Biomart
FGF6,Fgf6,Jax/Ensembl/Biomart
FGF7,Fgf7,Jax/Ensembl/Biomart
FGF8,Fgf8,Jax/Ensembl/Biomart
FGF9,Fgf9,Jax/Ensembl/Biomart
FGFBP1,Fgfbp1,Jax/Ensembl/Biomart
FGFBP3,Fgfbp3,Jax/Ensembl/Biomart
FGFR1,Fgfr1,Jax/Ensembl/Biomart
FGFR1OP,Fgfr1op,Jax/Ensembl/Biomart
FGFR1OP2,Fgfr1op2,Jax/Ensembl/Biomart
FGFR2,Fgfr2,Jax/Ensembl/Biomart
FGFR3,Fgfr3,Jax/Ensembl/Biomart
FGFR4,Fgfr4,Jax/Ensembl/Biomart
FGFRL1,Fgfrl1,Jax/Ensembl/Biomart
FGG,Fgg,Jax/Ensembl/Biomart
FGGY,Fggy,Jax/Ensembl/Biomart
FGL1,Fgl1,Jax/Ensembl/Biomart
FGL2,Fgl2,Jax/Ensembl/Biomart
FGR,Fgr,Jax/Ensembl/Biomart
FH,Fh1,Jax/Ensembl/Biomart
FHAD1,Fhad1,Jax/Ensembl/Biomart
FHDC1,Fhdc1,Jax/Ensembl/Biomart
FHIT,Fhit,Jax/Ensembl/Biomart
FHL1,Fhl1,Jax/Ensembl/Biomart
FHL2,Fhl2,Jax/Ensembl/Biomart
FHL3,Fhl3,Jax/Ensembl/Biomart
FHL5,Fhl5,Jax/Ensembl/Biomart
FHOD3,Fhod3,Jax/Ensembl/Biomart
FIBCD1,Fibcd1,Jax/Ensembl/Biomart
FIBIN,Fibin,Jax/Ensembl/Biomart
FIBP,Fibp,Jax/Ensembl/Biomart
FICD,Ficd,Jax/Ensembl/Biomart
FIG4,Fig4,Jax/Ensembl/Biomart
FIGLA,Figla,Jax/Ensembl/Biomart
FIGN,Fign,Jax/Ensembl/Biomart
FIGNL1,Fignl1,Jax/Ensembl/Biomart
FIGNL2,Fignl2,Jax/Ensembl/Biomart
FILIP1,Filip1,Jax/Ensembl/Biomart
FILIP1L,Filip1l,Jax/Ensembl/Biomart
FIS1,Fis1,Jax/Ensembl/Biomart
FITM1,Fitm1,Jax/Ensembl/Biomart
FITM2,Fitm2,Jax/Ensembl/Biomart
FIZ1,Fiz1,Jax/Ensembl/Biomart
FJX1,Fjx1,Jax/Ensembl/Biomart
FKBP10,Fkbp10,Jax/Ensembl/Biomart
FKBP11,Fkbp11,Jax/Ensembl/Biomart
FKBP14,Fkbp14,Jax/Ensembl/Biomart
FKBP15,Fkbp15,Jax/Ensembl/Biomart
FKBP1A,Fkbp1a,Jax/Ensembl/Biomart
FKBP1B,Fkbp1b,Jax/Ensembl/Biomart
FKBP2,Fkbp2,Jax/Ensembl/Biomart
FKBP3,Fkbp3,Jax/Ensembl/Biomart
FKBP4,Fkbp4,Jax/Ensembl/Biomart
FKBP5,Fkbp5,Jax/Ensembl/Biomart
FKBP6,Fkbp6,Jax/Ensembl/Biomart
FKBP7,Fkbp7,Jax/Ensembl/Biomart
FKBP8,Fkbp8,Jax/Ensembl/Biomart
FKBP9,Fkbp9,Jax/Ensembl/Biomart
FKBPL,Fkbpl,Jax/Ensembl/Biomart
FKRP,Fkrp,Jax/Ensembl/Biomart
FKTN,Fktn,Jax/Ensembl/Biomart
FLAD1,Flad1,Jax/Ensembl/Biomart
FLCN,Flcn,Jax/Ensembl/Biomart
FLI1,Fli1,Jax/Ensembl/Biomart
FLII,Flii,Jax/Ensembl/Biomart
FLNA,Flna,Jax/Ensembl/Biomart
FLNB,Flnb,Jax/Ensembl/Biomart
FLNC,Flnc,Jax/Ensembl/Biomart
FLOT1,Flot1,Jax/Ensembl/Biomart
FLOT2,Flot2,Jax/Ensembl/Biomart
FLRT1,Flrt1,Jax/Ensembl/Biomart
FLRT2,Flrt2,Jax/Ensembl/Biomart
FLRT3,Flrt3,Jax/Ensembl/Biomart
FLT1,Flt1,Jax/Ensembl/Biomart
FLT3,Flt3,Jax/Ensembl/Biomart
FLT3LG,Flt3l,Jax/Ensembl/Biomart
FLT4,Flt4,Jax/Ensembl/Biomart
FLVCR1,Flvcr1,Jax/Ensembl/Biomart
FLVCR2,Flvcr2,Jax/Ensembl/Biomart
FLYWCH1,Flywch1,Jax/Ensembl/Biomart
FLYWCH2,Flywch2,Jax/Ensembl/Biomart
FMC1,Fmc1,Jax/Ensembl/Biomart
FMN1,Fmn1,Jax/Ensembl/Biomart
FMN2,Fmn2,Jax/Ensembl/Biomart
FMNL2,Fmnl2,Jax/Ensembl/Biomart
FMNL3,Fmnl3,Jax/Ensembl/Biomart
FMO1,Fmo1,Jax/Ensembl/Biomart
FMO2,Fmo2,Jax/Ensembl/Biomart
FMO3,Fmo3,Jax/Ensembl/Biomart
FMO4,Fmo4,Jax/Ensembl/Biomart
FMO5,Fmo5,Jax/Ensembl/Biomart
FMOD,Fmod,Jax/Ensembl/Biomart
FMR1,Fmr1,Jax/Ensembl/Biomart
FN1,Fn1,Jax/Ensembl/Biomart
FN3K,Fn3k,Jax/Ensembl/Biomart
FN3KRP,Fn3krp,Jax/Ensembl/Biomart
FNBP1,Fnbp1,Jax/Ensembl/Biomart
FNBP4,Fnbp4,Jax/Ensembl/Biomart
FNDC10,Fndc10,Jax/Ensembl/Biomart
FNDC11,Fndc11,Jax/Ensembl/Biomart
FNDC3A,Fndc3a,Jax/Ensembl/Biomart
FNDC3B,Fndc3b,Jax/Ensembl/Biomart
FNDC4,Fndc4,Jax/Ensembl/Biomart
FNDC5,Fndc5,Jax/Ensembl/Biomart
FNDC7,Fndc7,Jax/Ensembl/Biomart
FNDC8,Fndc8,Jax/Ensembl/Biomart
FNDC9,Fndc9,Jax/Ensembl/Biomart
FNIP1,Fnip1,Jax/Ensembl/Biomart
FNIP2,Fnip2,Jax/Ensembl/Biomart
FNTA,Fnta,Jax/Ensembl/Biomart
FNTB,Fntb,Jax/Ensembl/Biomart
FOCAD,Focad,Jax/Ensembl/Biomart
FOLR1,Folr1,Jax/Ensembl/Biomart
FOLR2,Folr2,Jax/Ensembl/Biomart
FOPNL,Fopnl,Jax/Ensembl/Biomart
FOS,Fos,Jax/Ensembl/Biomart
FOSB,Fosb,Jax/Ensembl/Biomart
FOSL1,Fosl1,Jax/Ensembl/Biomart
FOSL2,Fosl2,Jax/Ensembl/Biomart
FOXA1,Foxa1,Jax/Ensembl/Biomart
FOXA2,Foxa2,Jax/Ensembl/Biomart
FOXA3,Foxa3,Jax/Ensembl/Biomart
FOXB1,Foxb1,Jax/Ensembl/Biomart
FOXC1,Foxc1,Jax/Ensembl/Biomart
FOXC2,Foxc2,Jax/Ensembl/Biomart
FOXD1,Foxd1,Jax/Ensembl/Biomart
FOXD2,Foxd2,Jax/Ensembl/Biomart
FOXD3,Foxd3,Jax/Ensembl/Biomart
FOXD4,Foxd4,Jax/Ensembl/Biomart
FOXE1,Foxe1,Jax/Ensembl/Biomart
FOXF1,Foxf1,Jax/Ensembl/Biomart
FOXF2,Foxf2,Jax/Ensembl/Biomart
FOXG1,Foxg1,Jax/Ensembl/Biomart
FOXH1,Foxh1,Jax/Ensembl/Biomart
FOXI1,Foxi1,Jax/Ensembl/Biomart
FOXI2,Foxi2,Jax/Ensembl/Biomart
FOXI3,Foxi3,Jax/Ensembl/Biomart
FOXJ1,Foxj1,Jax/Ensembl/Biomart
FOXJ2,Foxj2,Jax/Ensembl/Biomart
FOXJ3,Foxj3,Jax/Ensembl/Biomart
FOXK1,Foxk1,Jax/Ensembl/Biomart
FOXK2,Foxk2,Jax/Ensembl/Biomart
FOXL1,Foxl1,Jax/Ensembl/Biomart
FOXL2,Foxl2,Jax/Ensembl/Biomart
FOXM1,Foxm1,Jax/Ensembl/Biomart
FOXN1,Foxn1,Jax/Ensembl/Biomart
FOXN2,Foxn2,Jax/Ensembl/Biomart
FOXN4,Foxn4,Jax/Ensembl/Biomart
FOXO1,Foxo1,Jax/Ensembl/Biomart
FOXO3,Foxo3,Jax/Ensembl/Biomart
FOXO4,Foxo4,Jax/Ensembl/Biomart
FOXO6,Foxo6,Jax/Ensembl/Biomart
FOXP3,Foxp3,Jax/Ensembl/Biomart
FOXP4,Foxp4,Jax/Ensembl/Biomart
FOXQ1,Foxq1,Jax/Ensembl/Biomart
FOXR1,Foxr1,Jax/Ensembl/Biomart
FOXR2,Foxr2,Jax/Ensembl/Biomart
FOXRED1,Foxred1,Jax/Ensembl/Biomart
FOXRED2,Foxred2,Jax/Ensembl/Biomart
FOXS1,Foxs1,Jax/Ensembl/Biomart
FPGS,Fpgs,Jax/Ensembl/Biomart
FPGT,Fpgt,Jax/Ensembl/Biomart
FPR1,Fpr1,Jax/Ensembl/Biomart
FRA10AC1,Fra10ac1,Jax/Ensembl/Biomart
FRAS1,Fras1,Jax/Ensembl/Biomart
FRAT1,Frat1,Jax/Ensembl/Biomart
FRAT2,Frat2,Jax/Ensembl/Biomart
FREM1,Frem1,Jax/Ensembl/Biomart
FREM2,Frem2,Jax/Ensembl/Biomart
FREM3,Frem3,Jax/Ensembl/Biomart
FRG2,Frg2f1,Jax/Ensembl/Biomart
FRG2B,Frg2f1,Jax/Ensembl/Biomart
FRK,Frk,Jax/Ensembl/Biomart
FRMD3,Frmd3,Jax/Ensembl/Biomart
FRMD4A,Frmd4a,Jax/Ensembl/Biomart
FRMD4B,Frmd4b,Jax/Ensembl/Biomart
FRMD5,Frmd5,Jax/Ensembl/Biomart
FRMD6,Frmd6,Jax/Ensembl/Biomart
FRMD7,Frmd7,Jax/Ensembl/Biomart
FRMD8,Frmd8,Jax/Ensembl/Biomart
FRMPD1,Frmpd1,Jax/Ensembl/Biomart
FRMPD2,Frmpd2,Jax/Ensembl/Biomart
FRMPD4,Frmpd4,Jax/Ensembl/Biomart
FRRS1,Frrs1,Jax/Ensembl/Biomart
FRRS1L,Frrs1l,Jax/Ensembl/Biomart
FRS2,Frs2,Jax/Ensembl/Biomart
FRS3,Frs3,Jax/Ensembl/Biomart
FRY,Fry,Jax/Ensembl/Biomart
FRYL,Fryl,Jax/Ensembl/Biomart
FRZB,Frzb,Jax/Ensembl/Biomart
FSCN1,Fscn1,Jax/Ensembl/Biomart
FSCN2,Fscn2,Jax/Ensembl/Biomart
FSCN3,Fscn3,Jax/Ensembl/Biomart
FSD1,Fsd1,Jax/Ensembl/Biomart
FSD1L,Fsd1l,Jax/Ensembl/Biomart
FSD2,Fsd2,Jax/Ensembl/Biomart
FSHB,Fshb,Jax/Ensembl/Biomart
FSHR,Fshr,Jax/Ensembl/Biomart
FSIP1,Fsip1,Jax/Ensembl/Biomart
FSIP2,Fsip2,Jax/Ensembl/Biomart
FST,Fst,Jax/Ensembl/Biomart
FSTL1,Fstl1,Jax/Ensembl/Biomart
FSTL3,Fstl3,Jax/Ensembl/Biomart
FSTL4,Fstl4,Jax/Ensembl/Biomart
FSTL5,Fstl5,Jax/Ensembl/Biomart
FTCD,Ftcd,Jax/Ensembl/Biomart
FTL,Ftl1,Jax/Ensembl/Biomart
FTMT,Ftmt,Jax/Ensembl/Biomart
FTO,Fto,Jax/Ensembl/Biomart
FTSJ1,Ftsj1,Jax/Ensembl/Biomart
FTSJ3,Ftsj3,Jax/Ensembl/Biomart
FUBP1,Fubp1,Jax/Ensembl/Biomart
FUBP3,Fubp3,Jax/Ensembl/Biomart
FUCA1,Fuca1,Jax/Ensembl/Biomart
FUCA2,Fuca2,Jax/Ensembl/Biomart
FUNDC1,Fundc1,Jax/Ensembl/Biomart
FUNDC2,Fundc2,Jax/Ensembl/Biomart
FUOM,Fuom,Jax/Ensembl/Biomart
FURIN,Furin,Jax/Ensembl/Biomart
FUT1,Fut1,Jax/Ensembl/Biomart
FUT10,Fut10,Jax/Ensembl/Biomart
FUT11,Fut11,Jax/Ensembl/Biomart
FUT2,Fut2,Jax/Ensembl/Biomart
FUT4,Fut4,Jax/Ensembl/Biomart
FUT7,Fut7,Jax/Ensembl/Biomart
FUT8,Fut8,Jax/Ensembl/Biomart
FUT9,Fut9,Jax/Ensembl/Biomart
FUZ,Fuz,Jax/Ensembl/Biomart
FXN,Fxn,Jax/Ensembl/Biomart
FXR1,Fxr1,Jax/Ensembl/Biomart
FXR2,Fxr2,Jax/Ensembl/Biomart
FXYD1,Fxyd1,Jax/Ensembl/Biomart
FXYD3,Fxyd3,Jax/Ensembl/Biomart
FXYD4,Fxyd4,Jax/Ensembl/Biomart
FXYD6,Fxyd6,Jax/Ensembl/Biomart
FXYD7,Fxyd7,Jax/Ensembl/Biomart
FYB1,Fyb,Jax/Ensembl/Biomart
FYB2,Fyb2,Jax/Ensembl/Biomart
FYCO1,Fyco1,Jax/Ensembl/Biomart
FYN,Fyn,Jax/Ensembl/Biomart
FYTTD1,Fyttd1,Jax/Ensembl/Biomart
FZD1,Fzd1,Jax/Ensembl/Biomart
FZD10,Fzd10,Jax/Ensembl/Biomart
FZD2,Fzd2,Jax/Ensembl/Biomart
FZD3,Fzd3,Jax/Ensembl/Biomart
FZD4,Fzd4,Jax/Ensembl/Biomart
FZD5,Fzd5,Jax/Ensembl/Biomart
FZD6,Fzd6,Jax/Ensembl/Biomart
FZD7,Fzd7,Jax/Ensembl/Biomart
FZD8,Fzd8,Jax/Ensembl/Biomart
FZD9,Fzd9,Jax/Ensembl/Biomart
FZR1,Fzr1,Jax/Ensembl/Biomart
G0S2,G0s2,Jax/Ensembl/Biomart
G2E3,G2e3,Jax/Ensembl/Biomart
G3BP1,G3bp1,Jax/Ensembl/Biomart
G3BP2,G3bp2,Jax/Ensembl/Biomart
G6PC,G6pc,Jax/Ensembl/Biomart
G6PC2,G6pc2,Jax/Ensembl/Biomart
G6PC3,G6pc3,Jax/Ensembl/Biomart
G6PD,G6pdx,Jax/Ensembl/Biomart
GAA,Gaa,Jax/Ensembl/Biomart
GAB1,Gab1,Jax/Ensembl/Biomart
GAB2,Gab2,Jax/Ensembl/Biomart
GAB3,Gab3,Jax/Ensembl/Biomart
GABARAP,Gabarap,Jax/Ensembl/Biomart
GABARAPL1,Gabarapl1,Jax/Ensembl/Biomart
GABARAPL2,Gabarapl2,Jax/Ensembl/Biomart
GABBR1,Gabbr1,Jax/Ensembl/Biomart
GABBR2,Gabbr2,Jax/Ensembl/Biomart
GABPA,Gabpa,Jax/Ensembl/Biomart
GABPB1,Gabpb1,Jax/Ensembl/Biomart
GABPB2,Gabpb2,Jax/Ensembl/Biomart
GABRA1,Gabra1,Jax/Ensembl/Biomart
GABRA2,Gabra2,Jax/Ensembl/Biomart
GABRA3,Gabra3,Jax/Ensembl/Biomart
GABRA4,Gabra4,Jax/Ensembl/Biomart
GABRA5,Gabra5,Jax/Ensembl/Biomart
GABRA6,Gabra6,Jax/Ensembl/Biomart
GABRB1,Gabrb1,Jax/Ensembl/Biomart
GABRB2,Gabrb2,Jax/Ensembl/Biomart
GABRB3,Gabrb3,Jax/Ensembl/Biomart
GABRD,Gabrd,Jax/Ensembl/Biomart
GABRG1,Gabrg1,Jax/Ensembl/Biomart
GABRG2,Gabrg2,Jax/Ensembl/Biomart
GABRG3,Gabrg3,Jax/Ensembl/Biomart
GABRP,Gabrp,Jax/Ensembl/Biomart
GABRQ,Gabrq,Jax/Ensembl/Biomart
GABRR1,Gabrr1,Jax/Ensembl/Biomart
GABRR2,Gabrr2,Jax/Ensembl/Biomart
GABRR3,Gabrr3,Jax/Ensembl/Biomart
GAD1,Gad1,Jax/Ensembl/Biomart
GAD2,Gad2,Jax/Ensembl/Biomart
GADD45A,Gadd45a,Jax/Ensembl/Biomart
GADD45B,Gadd45b,Jax/Ensembl/Biomart
GADD45G,Gadd45g,Jax/Ensembl/Biomart
GADD45GIP1,Gadd45gip1,Jax/Ensembl/Biomart
GADL1,Gadl1,Jax/Ensembl/Biomart
GAK,Gak,Jax/Ensembl/Biomart
GAL,Gal,Jax/Ensembl/Biomart
GAL3ST1,Gal3st1,Jax/Ensembl/Biomart
GAL3ST2,Gal3st2,Jax/Ensembl/Biomart
GAL3ST2,Gal3st2b,Jax/Ensembl/Biomart
GAL3ST2,Gal3st2c,Jax/Ensembl/Biomart
GAL3ST3,Gal3st3,Jax/Ensembl/Biomart
GAL3ST4,Gal3st4,Jax/Ensembl/Biomart
GALC,Galc,Jax/Ensembl/Biomart
GALE,Gale,Jax/Ensembl/Biomart
GALK1,Galk1,Jax/Ensembl/Biomart
GALK2,Galk2,Jax/Ensembl/Biomart
GALM,Galm,Jax/Ensembl/Biomart
GALNS,Galns,Jax/Ensembl/Biomart
GALNT1,Galnt1,Jax/Ensembl/Biomart
GALNT10,Galnt10,Jax/Ensembl/Biomart
GALNT11,Galnt11,Jax/Ensembl/Biomart
GALNT12,Galnt12,Jax/Ensembl/Biomart
GALNT13,Galnt13,Jax/Ensembl/Biomart
GALNT14,Galnt14,Jax/Ensembl/Biomart
GALNT15,Galnt15,Jax/Ensembl/Biomart
GALNT16,Galnt16,Jax/Ensembl/Biomart
GALNT17,Galnt17,Jax/Ensembl/Biomart
GALNT18,Galnt18,Jax/Ensembl/Biomart
GALNT2,Galnt2,Jax/Ensembl/Biomart
GALNT3,Galnt3,Jax/Ensembl/Biomart
GALNT4,Galnt4,Jax/Ensembl/Biomart
GALNT5,Galnt5,Jax/Ensembl/Biomart
GALNT6,Galnt6,Jax/Ensembl/Biomart
GALNT7,Galnt7,Jax/Ensembl/Biomart
GALNT9,Galnt9,Jax/Ensembl/Biomart
GALNTL5,Galntl5,Jax/Ensembl/Biomart
GALNTL6,Galntl6,Jax/Ensembl/Biomart
GALP,Galp,Jax/Ensembl/Biomart
GALR1,Galr1,Jax/Ensembl/Biomart
GALR2,Galr2,Jax/Ensembl/Biomart
GALR3,Galr3,Jax/Ensembl/Biomart
GALT,Galt,Jax/Ensembl/Biomart
GAMT,Gamt,Jax/Ensembl/Biomart
GAN,Gan,Jax/Ensembl/Biomart
GANAB,Ganab,Jax/Ensembl/Biomart
GANC,Ganc,Jax/Ensembl/Biomart
GAP43,Gap43,Jax/Ensembl/Biomart
GAPDHS,Gapdhs,Jax/Ensembl/Biomart
GAPT,Gapt,Jax/Ensembl/Biomart
GAPVD1,Gapvd1,Jax/Ensembl/Biomart
GAREM1,Garem1,Jax/Ensembl/Biomart
GAREM2,Garem2,Jax/Ensembl/Biomart
GARNL3,Garnl3,Jax/Ensembl/Biomart
GARS,Gars,Jax/Ensembl/Biomart
GART,Gart,Jax/Ensembl/Biomart
GAS1,Gas1,Jax/Ensembl/Biomart
GAS2,Gas2,Jax/Ensembl/Biomart
GAS2L1,Gas2l1,Jax/Ensembl/Biomart
GAS2L2,Gas2l2,Jax/Ensembl/Biomart
GAS2L3,Gas2l3,Jax/Ensembl/Biomart
GAS6,Gas6,Jax/Ensembl/Biomart
GAS7,Gas7,Jax/Ensembl/Biomart
GAS8,Gas8,Jax/Ensembl/Biomart
GAST,Gast,Jax/Ensembl/Biomart
GATA1,Gata1,Jax/Ensembl/Biomart
GATA2,Gata2,Jax/Ensembl/Biomart
GATA3,Gata3,Jax/Ensembl/Biomart
GATA4,Gata4,Jax/Ensembl/Biomart
GATA5,Gata5,Jax/Ensembl/Biomart
GATA6,Gata6,Jax/Ensembl/Biomart
GATAD1,Gatad1,Jax/Ensembl/Biomart
GATAD2A,Gatad2a,Jax/Ensembl/Biomart
GATAD2B,Gatad2b,Jax/Ensembl/Biomart
GATB,Gatb,Jax/Ensembl/Biomart
GATC,Gatc,Jax/Ensembl/Biomart
GATD1,Gatd1,Jax/Ensembl/Biomart
GATM,Gatm,Jax/Ensembl/Biomart
GBA,Gba,Jax/Ensembl/Biomart
GBA2,Gba2,Jax/Ensembl/Biomart
GBE1,Gbe1,Jax/Ensembl/Biomart
GBF1,Gbf1,Jax/Ensembl/Biomart
GBGT1,Gbgt1,Jax/Ensembl/Biomart
GBP2,Gbp2,Jax/Ensembl/Biomart
GBP5,Gbp5,Jax/Ensembl/Biomart
GBP6,Gbp10,Jax/Ensembl/Biomart
GBP6,Gbp11,Jax/Ensembl/Biomart
GBP6,Gbp4,Jax/Ensembl/Biomart
GBP6,Gbp6,Jax/Ensembl/Biomart
GBP6,Gbp9,Jax/Ensembl/Biomart
GBX1,Gbx1,Jax/Ensembl/Biomart
GBX2,Gbx2,Jax/Ensembl/Biomart
GC,Gc,Jax/Ensembl/Biomart
GCA,Gca,Jax/Ensembl/Biomart
GCAT,Gcat,Jax/Ensembl/Biomart
GCC1,Gcc1,Jax/Ensembl/Biomart
GCC2,Gcc2,Jax/Ensembl/Biomart
GCDH,Gcdh,Jax/Ensembl/Biomart
GCFC2,Gcfc2,Jax/Ensembl/Biomart
GCGR,Gcgr,Jax/Ensembl/Biomart
GCH1,Gch1,Jax/Ensembl/Biomart
GCHFR,Gchfr,Jax/Ensembl/Biomart
GCK,Gck,Jax/Ensembl/Biomart
GCKR,Gckr,Jax/Ensembl/Biomart
GCLC,Gclc,Jax/Ensembl/Biomart
GCLM,Gclm,Jax/Ensembl/Biomart
GCM1,Gcm1,Jax/Ensembl/Biomart
GCM2,Gcm2,Jax/Ensembl/Biomart
GCN1,Gcn1l1,Jax/Ensembl/Biomart
GCNT1,Gcnt1,Jax/Ensembl/Biomart
GCNT2,Gcnt2,Jax/Ensembl/Biomart
GCNT3,Gcnt3,Jax/Ensembl/Biomart
GCNT4,Gcnt4,Jax/Ensembl/Biomart
GCNT7,Gcnt7,Jax/Ensembl/Biomart
GCSAM,Gcsam,Jax/Ensembl/Biomart
GDA,Gda,Jax/Ensembl/Biomart
GDAP1,Gdap1,Jax/Ensembl/Biomart
GDAP1L1,Gdap1l1,Jax/Ensembl/Biomart
GDAP2,Gdap2,Jax/Ensembl/Biomart
GDE1,Gde1,Jax/Ensembl/Biomart
GDF1,Gdf1,Jax/Ensembl/Biomart
GDF10,Gdf10,Jax/Ensembl/Biomart
GDF11,Gdf11,Jax/Ensembl/Biomart
GDF15,Gdf15,Jax/Ensembl/Biomart
GDF2,Gdf2,Jax/Ensembl/Biomart
GDF3,Gdf3,Jax/Ensembl/Biomart
GDF5,Gdf5,Jax/Ensembl/Biomart
GDF6,Gdf6,Jax/Ensembl/Biomart
GDF7,Gdf7,Jax/Ensembl/Biomart
GDF9,Gdf9,Jax/Ensembl/Biomart
GDI1,Gdi1,Jax/Ensembl/Biomart
GDI2,Gdi2,Jax/Ensembl/Biomart
GDNF,Gdnf,Jax/Ensembl/Biomart
GDPD1,Gdpd1,Jax/Ensembl/Biomart
GDPD2,Gdpd2,Jax/Ensembl/Biomart
GDPD3,Gdpd3,Jax/Ensembl/Biomart
GDPD4,Gdpd4,Jax/Ensembl/Biomart
GDPD5,Gdpd5,Jax/Ensembl/Biomart
GDPGP1,Gdpgp1,Jax/Ensembl/Biomart
GEM,Gem,Jax/Ensembl/Biomart
GEMIN2,Gemin2,Jax/Ensembl/Biomart
GEMIN4,Gemin4,Jax/Ensembl/Biomart
GEMIN5,Gemin5,Jax/Ensembl/Biomart
GEMIN6,Gemin6,Jax/Ensembl/Biomart
GEMIN7,Gemin7,Jax/Ensembl/Biomart
GEMIN8,Gemin8,Jax/Ensembl/Biomart
GEN1,Gen1,Jax/Ensembl/Biomart
GET4,Get4,Jax/Ensembl/Biomart
GFAP,Gfap,Jax/Ensembl/Biomart
GFER,Gfer,Jax/Ensembl/Biomart
GFI1,Gfi1,Jax/Ensembl/Biomart
GFI1B,Gfi1b,Jax/Ensembl/Biomart
GFM1,Gfm1,Jax/Ensembl/Biomart
GFM2,Gfm2,Jax/Ensembl/Biomart
GFOD1,Gfod1,Jax/Ensembl/Biomart
GFOD2,Gfod2,Jax/Ensembl/Biomart
GFPT1,Gfpt1,Jax/Ensembl/Biomart
GFPT2,Gfpt2,Jax/Ensembl/Biomart
GFRA1,Gfra1,Jax/Ensembl/Biomart
GFRA2,Gfra2,Jax/Ensembl/Biomart
GFRA3,Gfra3,Jax/Ensembl/Biomart
GFRA4,Gfra4,Jax/Ensembl/Biomart
GFRAL,Gfral,Jax/Ensembl/Biomart
GFY,Gfy,Jax/Ensembl/Biomart
GGA1,Gga1,Jax/Ensembl/Biomart
GGA2,Gga2,Jax/Ensembl/Biomart
GGA3,Gga3,Jax/Ensembl/Biomart
GGACT,Ggact,Jax/Ensembl/Biomart
GGCT,Ggct,Jax/Ensembl/Biomart
GGCX,Ggcx,Jax/Ensembl/Biomart
GGH,Ggh,Jax/Ensembl/Biomart
GGN,Ggn,Jax/Ensembl/Biomart
GGNBP2,Ggnbp2,Jax/Ensembl/Biomart
GGPS1,Ggps1,Jax/Ensembl/Biomart
GGT1,Ggt1,Jax/Ensembl/Biomart
GGT5,Ggt5,Jax/Ensembl/Biomart
GGT6,Ggt6,Jax/Ensembl/Biomart
GGT7,Ggt7,Jax/Ensembl/Biomart
GHDC,Ghdc,Jax/Ensembl/Biomart
GHITM,Ghitm,Jax/Ensembl/Biomart
GHR,Ghr,Jax/Ensembl/Biomart
GHRH,Ghrh,Jax/Ensembl/Biomart
GHRHR,Ghrhr,Jax/Ensembl/Biomart
GHRL,Ghrl,Jax/Ensembl/Biomart
GHSR,Ghsr,Jax/Ensembl/Biomart
GID4,Gid4,Jax/Ensembl/Biomart
GID8,Gid8,Jax/Ensembl/Biomart
GIGYF1,Gigyf1,Jax/Ensembl/Biomart
GIGYF2,Gigyf2,Jax/Ensembl/Biomart
GIMAP1,Gimap1,Jax/Ensembl/Biomart
GIMAP1-GIMAP5,Gimap3,Jax/Ensembl/Biomart
